ACCIDENT_NO,SURFACE_COND,SURFACE_COND_DESC,SURFACE_COND_SEQ
T20220025202,1,Dry,0
T20220023707,9,Unk.,0
T20220023630,1,Dry,0
T20220025023,9,Unk.,0
T20220023619,1,Dry,0
T20220023618,1,Dry,0
T20220023617,1,Dry,1
T20220027035,9,Unk.,0
T20220023616,1,Dry,1
T20220023615,1,Dry,0
T20220023614,1,Dry,0
T20220025528,9,Unk.,0
T20220023611,1,Dry,0
T20220023608,1,Dry,0
T20220023607,1,Dry,0
T20220023602,1,Dry,0
T20220023600,1,Dry,1
T20220023599,1,Dry,0
T20220023595,1,Dry,1
T20220023594,1,Dry,1
T20220024719,1,Dry,0
T20220023566,1,Dry,1
